,Molecule ChEMBL ID,Canonical_Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3636,CHEMBL1914664,Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,7.2839966563652006,334.12298932000004,4,3,4.081700000000002,True
3637,CHEMBL177053,Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,7.356547323513812,355.9731293880001,5,1,4.745600000000001,True
3638,CHEMBL111197,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,7.522878745280337,426.06503111200004,6,1,5.054500000000003,True
3639,CHEMBL77737,N#CC(C#N)=Cc1ccncc1,3.6020599913279625,155.04834716,3,0,1.51216,True
3640,CHEMBL5083976,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(-c4cccc(OC)c4)n3)[nH]c12,8.017728766960431,443.1957396600001,5,2,2.9369000000000005,True
3641,CHEMBL8095,COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,5.698970004336019,359.12699140399997,5,3,4.066000000000002,True
3642,CHEMBL325589,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccnc3)nc21,6.292429823902063,397.0497153960001,6,1,4.440900000000003,True
3643,CHEMBL544833,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,6.455931955649724,341.137556088,7,1,3.4078000000000017,True
3644,CHEMBL135902,COc1cc2ncnc(Sc3cccc(Cl)c3)c2cc1OC,8.0,332.038626336,5,0,4.451600000000003,True
3645,CHEMBL408105,COc1cc2ncnc(Nc3ccccc3N)c2cn1,5.430000267796055,267.112010036,6,2,2.3591999999999995,True
3646,CHEMBL65038,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],7.8198741248359465,374.00145231199997,6,1,4.052700000000002,True
3647,CHEMBL96780,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,8.419987887470576,344.027273136,5,2,3.726700000000002,True
3648,CHEMBL50344,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.389978975335854,328.03235851600004,4,2,4.177600000000002,True
3649,CHEMBL56912,COCCNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.096910013008056,420.136446464,7,2,3.7893000000000017,True
3650,CHEMBL270966,CN(C)CCN(C)c1c(Br)cccc1Nc1ncnc2ccncc12,7.389978975335855,400.1011067720001,6,1,3.5287000000000015,True
3651,CHEMBL416307,Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,8.51999305704285,346.16544257600003,7,3,2.84952,True
3652,CHEMBL53310,CNc1ncc2ncnc(Nc3ccccc3)c2n1,7.880084589742009,252.11234438399998,6,2,2.2051,True
3653,CHEMBL270921,CC(=O)Nc1c(Br)cccc1Nc1ncnc2ccncc12,7.5300307905000405,357.022522104,5,2,3.4893,True
3654,CHEMBL333851,COc1cc2c(NCc3ccccc3)ncnc2cc1O,6.230622673923861,281.11642672,5,2,2.9561000000000015,True
3655,CHEMBL331026,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3[nH]2)c1O,4.838631997765025,380.094311372,6,3,2.9616800000000016,True
3656,CHEMBL31570,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOC,9.013228265733755,417.100395304,7,2,3.710600000000002,True
